consent	1.1_grad_area	1.2_masters_area	1.3_masters_sub_area	1.4_doc_year	1.5_research_subarea	1.6_state_doc	1.7_has_posdoc	1.8_worked_unpaid	1.9_worked_paid	1.10_international_scholarship	1.11_years_international	1.12_SQB_affiliate	1.13_residency	1.14_work_sector	2.1_posdoc_experience	2.2_chage_institution_posdoc	2.3_international_motivation	2.4_institution_posdoc	2.5_posdoc_financing	2.6_posgrad_supervision	2.7_supervision_total	2.8_teaching_exp	2.9_posdoc_satisfaction	2.10_rights_duties_postdocs	3.1_months_worked_postdoc	3.2_institutions_postdoc	3.3_funding_postdoc	3.4_infrastructure_research	3.5_mentoring_experience	3.6_total_supervised	3.7_projects_coordination	3.8_funding_sources_projects	3.9_extension_projects: Number of extension projects coordinated	4.1_current_professor	4.2_current_position	4.3_start_teaching_experience	4.4_support_during_postgrad	4.5_total_months_postdoc	4.6_institutions_postgrad	4.7_funding_postgrad_postdoc	4.8_infrastructure_workplace	4.9_opportunity_research_extension	4.10_bolsist_students	4.11_total_supervised_students	5.1_publications_peer_reviewed	5.2_publications_last_5_years	5.3_publications_first_author	5.4_publications_corresponding_author	5.5_international_collaborations	5.6_patents_deposited	5.7_H_index_scopus	5.8_ethical_standards_workplace	5.9_witnessed_ethical_misconduct	5.10_disagreement_authorship_order	5.11_communication_channels	5.12_long_term_career_plans	5.13_satisfaction_career_plan	5.14_job_search_status	5.15_main_skills_develop	5.16_skills_developed_during_studies	6.1_age_range	6.2_language_proficiency	6.3_marital_status_co-habitation	6.4_children_status	6.5_state_born	6.6_gender_identity	6.7_self_classification	7.1_survey_result_newsletter
Li e concordo em participar da pesquisa	Química	Química Orgânica	Ciências - Química	2018	Química Orgânica	São Paulo (SP)	Nenhum	Não	Não	Sim, no doutorado	Até 6 meses	Já fui associado (estou inativo)	São Paulo (SP)	Setor Privado mas não pesquisador-professor																															9/mai	9/mai	4/jan	Nenhuma	9/mai	Nenhuma	7/abr	Sim	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;E-mail;WhatsApp"	No setor privado, fora da pesquisa	Completamente Satisfeito	Não	"Escrita de artigos científicos;Colaboração e trabalho de equipe;Gerenciamento de carreira"	"Gerenciamento de projetos;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa"	33-34	"Inglês;Italiano"	Casado(a)	Não	São Paulo (SP)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Química Analítica	2021	Química Analítica	Minas Gerais (MG)	Sim, dois pós doutorados	Não	Não	Não	Nenhum	Já fui associado (estou inativo)	Rio de Janeiro (RJ)	Pós-doutorando (Setor Público)	24-36 meses	Sim, mudei de instituição e de estado onde me titulei como doutor	Não se aplica	Universidade federal	CNPq	Sim, doutorandos	Acima de 6	Sim, como assistente/monitor de disciplina (estágio docência)	Satisfeito	"Flexibilidade no contrato de trabalho (trabalhar fora do projeto de pesquisa/ensino);Seguro saúde;Afastamento remunerado por doença;Auxílio-alimentação"																					Acima de 35	Acima de 35	14/out	9/mai	4/jan	Nenhuma	15/dez	Não se aplica	Sim	Sim, em algumas das minhas publicações	Presencial	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Sim, na academia	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Produtividade pessoal"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Produtividade pessoal"	31-32	"Português;Inglês"	Casado(a)	Não	Minas Gerais (MG)	Homem transexual/transgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Farmácia, Farmácia-Bioquímica	Outros	Outros	2023	Outros	Rio Grande do Sul (RS)	Nenhum	Sim, acima de 12 meses	Sim, com carteira assinada	Não	Nenhum	Não	Rio Grande do Sul (RS)	Funcionário público mas não pesquisador/professor																															14/out	14/out	4/jan	Nenhuma	14/out	Nenhuma	11/ago	Não sei	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;E-mail;WhatsApp"	No setor público, como Pesquisador	Parcialmente satisfeito	Sim, na academia	"Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial;Gerenciamento de carreira;Transferência de conhecimento, inovação e empreendedorismo"	"Escrita de artigos científicos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Comunicação e divulgação científica"	31-32	"Português;Inglês;Espanhol"	Solteiro(a)	Não	Rio Grande do Sul (RS)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Química Analítica	2023	"Alimentos e Bebidas;Química Analítica"	Paraná (PR)	Nenhum	Sim, de 6 a 12 meses	Sim, sem carteira assinada	Não	Nenhum	Não	Paraná (PR)	Pesquisador (Setor Público)																															9/mai	9/mai	4/jan	4/jan	4/jan	Nenhuma	0-3	Sim	Sim	Sim, em algumas das minhas publicações	"Presencial;Telefone;E-mail"	No setor público, como professor de Ensino Superior	Parcialmente satisfeito	Sim, tanto dentro quanto fora da academia, no Brasil ou no exterior.	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Gerenciamento de carreira;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Pesquisa interdisciplinar"	31-32	"Português;Francês"	Divorciado(a)	Não	Rio de Janeiro (RJ)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Orgânica	Química Orgânica	Prefiro não responder																																																																
Li e concordo em participar da pesquisa	Outros	Outros	Ciências - Química	2015	Química Orgânica	Santa Catarina (SC)	Sim, um pós-doutorado	Sim, até 6 meses	Não	Sim, no doutorado	Até 6 meses	Sim, sou associado	Rio de Janeiro (RJ)	Professor Universitário (Setor Público)											0-12 meses	Universidade federal	CNPq	Satisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos;Sim, pós-doutorandos"	Acima de 13	10/ago	Fundações de amparo à pesquisa dos estados (FAPs)	Nenhum												Acima de 35	20-24	4/jan	14/out	14/out	4/mar	15/dez	Parcialmente	Sim	Sim, em algumas das minhas publicações	E-mail	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Gerenciamento de carreira;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial;Rede de contatos;Produtividade pessoal"	35-36	"Português;Inglês"	Casado(a)	Sim, dois filhos	Rio Grande do Sul (RS)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Ensino em Química	2022	Ensino/Educação em Química	Goiás (GO)	Nenhum	Sim, acima de 12 meses	Sim, sem carteira assinada	Não	Nenhum	Já fui associado (estou inativo)	Goiás (GO)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Rede Federal (Instituto Federal, CEFET, entre outros)	Professor temporário	Após a pós-graduação	Não pude contar com nenhum tipo de licença	Não fiz pós-doutorado	Universidade federal	Sem remuneração	Parcialmente satisfeito	Não	Sim, de Ensino Superior	1	4/jan	4/jan	4/jan	4/jan	Nenhuma	Nenhuma	Prefiro não responder	Parcialmente	Não	Sim, em algumas das minhas publicações	"E-mail;WhatsApp"	No setor público, como professor de Ensino Superior	Insatisfeito	Sim, em ambos (academia e fora dela)	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Rede de contatos;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa"	37-38	"Português;Inglês"	Casado(a)	Não	Goiás (GO)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Inorgânica	Química Inorgânica	2018	Química Inorgânica	Rio Grande do Norte (RN)	Nenhum	Sim, de 6 a 12 meses	Não	Não	Nenhum	Não	Rio Grande do Norte (RN)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Escola (Ensino Fundamental e/ou Médio) pública	Professor temporário	Após a pós-graduação	Prefiro não responder	Não fiz pós-doutorado	Universidade federal	"CAPES;CNPq"	Prefiro não responder	Não	Não	1	Prefiro não responder	4/jan	4/jan	4/jan	Prefiro não responder	Nenhuma	0-3	Prefiro não responder	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	Não se aplica	No setor público, como professor da rede de Ensino Fundamental e Médio	Insatisfeito	Prefiro não responder	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar"	"Escrita de artigos científicos;Ensino/Lecionar"	Acima de 40	Português	Solteiro(a)	Não	Rio Grande do Norte (RN)	Prefiro não responder	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Outros	Ciências - Química	2022	Química Ambiental	Rio de Janeiro (RJ)	Nenhum	Não	Não	Não	Nenhum	Já fui associado (estou inativo)	Rio de Janeiro (RJ)	Professor Universitário (Setor Público)											Não fiz pós-doutorado	Universidade estadual	Outras	Parcialmente insatisfeito	Sim, aluno de iniciação científica	3/jan	2/jan	Não se aplica	2												4/jan	4/jan	Nenhuma	Nenhuma	4/jan	Nenhuma	0-3	Sim	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	Presencial	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Pesquisa interdisciplinar;Rede de contatos;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Colaboração e trabalho de equipe;Comunicação e divulgação científica"	39-40	"Português;Espanhol"	Casado(a)	Sim, um filho	Rio de Janeiro (RJ)	Mulher cisgênera	Preto(a)	Sim
Li e concordo em participar da pesquisa	Química	Físico-Química	Físico-Química	2013	Físico-Química	São Paulo (SP)	Sim, um pós-doutorado	Não	Não	Sim, no pós-doutorado	Até 6 meses	Já fui associado (estou inativo)	Tocantins (TO)	Professor Universitário (Setor Público)											0-12 meses	"Universidade estadual;Universidade federal"	Sem remuneração	Completamente satisfeito	Sim, mestrandos	11/set	6/abr	"CAPES;CNPq;Fundações de amparo à pesquisa dos estados (FAPs)"	3												Acima de 35	Acima de 35	14/out	Acima de 35	4/jan	Nenhuma	15/dez	Não	Não	Sim, em algumas das minhas publicações	Presencial	"No setor público, como professor de Ensino Superior;No setor público, como professor de Ensino Superior e Pesquisador"	Parcialmente insatisfeito	Sim, na academia	Pesquisa interdisciplinar	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Conduta ética na pesquisa;Equidade e diversidade"	39-40	"Português;Inglês"	Casado(a)	Não	Minas Gerais (MG)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Inorgânica	Química Inorgânica	2016	Outros	Paraná (PR)	Nenhum	Sim, de 6 a 12 meses	Não	Não	Nenhum	Já fui associado (estou inativo)	Paraná (PR)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Rede Federal (Instituto Federal, CEFET, entre outros)	Professor concursado	Após a pós-graduação	Tive minha carga horária em sala de aula reduzida pela própria instituição como incentivo ao meu doutoramento, sem impacto financeiro	Não fiz pós-doutorado	Universidade estadual	"CNPq;Sem remuneração"	Satisfeito	Sim	Sim, de Ensino Médio	Acima de 6	20-24	15-19	9/mai	9/mai	4/jan	8/jul	11/ago	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;E-mail"	No setor público, como professor da rede de Ensino Fundamental e Médio	Satisfeito	Não	"Escrita de artigos científicos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Colaboração e trabalho de equipe;Conduta ética na pesquisa"	29-30	"Português;Inglês"	Casado(a)	Sim, um filho	Paraná (PR)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Fiz doutorado direto	Outros	2023	Produtos Naturais	Amapá (AP)	Nenhum	Não	Sim, com carteira assinada	Não	Nenhum	Já fui associado (estou inativo)	Amapá (AP)	Pesquisador (Setor Público)																															20-24	14/out	9/mai	9/mai	4/jan	Nenhuma	20-23	Parcialmente	Sim	Sim, em algumas das minhas publicações	"E-mail;WhatsApp;Instagram"	No setor público, em cargos técnicos e administrativos de nível superior	Completamente Satisfeito	Não	"Gerenciamento de projetos;Orientação de alunos/pós-graduandos"	"Escrita de artigos científicos;Escrita de projetos;Colaboração e trabalho de equipe;Rede de contatos"	Acima de 40	Inglês	Casado(a)	Sim, dois filhos	Amapá (AP)	Mulher cisgênera	Preto(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Química Analítica	2019	Química Analítica	Espírito Santo (ES)	Sim, um pós-doutorado	Sim, acima de 12 meses	Sim, com carteira assinada	Não	Nenhum	Sim, sou associado	Espírito Santo (ES)	Pesquisador (Setor Público)																															30-35	20-24	20-24	15-19	Nenhuma	Acima de 10	16-19	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	E-mail	"No setor público, como Pesquisador;No setor público, em cargos técnicos e administrativos de nível superior"	Parcialmente satisfeito	Sim, em ambos (academia e fora dela) no exterior	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Transferência de conhecimento, inovação e empreendedorismo"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Transferência de conhecimento, inovação e empreendedorismo"	Acima de 40	"Português;Inglês;Espanhol"	Solteiro(a)	Não	Espírito Santo (ES)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Outros	Outros	2016	Química Analítica	Sergipe (SE)	Nenhum	Não	Sim, sem carteira assinada	Não	Nenhum	Já fui associado (estou inativo)	Sergipe (SE)	Pós-doutorando (Setor Público)	0-12 meses	Não, realizo meu pós-doutorado na mesma instituição onde me titulei como doutor	Não se aplica	Universidade federal	CAPES	Não	Nenhum	Não	Satisfeito	"Seguro saúde;Afastamento remunerado por doença;Auxílio-transporte;Auxílio-alimentação"																					Nenhuma	9/mai	4/jan	4/jan	4/jan	2/jan	Prefiro não responder	Não se aplica	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail;WhatsApp"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Sim, em ambos (academia e fora dela)	"Escrita de artigos científicos;Ensino/Lecionar;Colaboração e trabalho de equipe;Conduta ética na pesquisa"	"Escrita de artigos científicos;Ensino/Lecionar;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial"	37-38	Português	Solteiro(a)	Não	Sergipe (SE)	Mulher cisgênera	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Química	Físico-Química	Físico-Química	2014	Eletroquímica e Eletroanalítica	Rio Grande do Norte (RN)	Sim, dois pós doutorados	Sim, de 6 a 12 meses	Não	Sim, no doutorado	Até 6 meses	Não	Rio Grande do Norte (RN)	Pós-doutorando (Setor Público)	36-48 meses	Sim, mudei de instituição mas permaneci no estado onde me titulei como doutor	Não se aplica	Universidade federal	"CAPES;CNPq;Outras"	"Sim, alunos de iniciação científica;Sim, mestrandos;Sim, doutorandos"	6	Sim, como responsável de disciplina	Completamente satisfeito	"Recolhimento de impostos (Ex. imposto de renda);Afastamento remunerado por doença;Previdência social;Auxílio-alimentação"																					30-35	15-19	9/mai	Nenhuma	14/out	Nenhuma	15/dez	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	Presencial	No setor público, como professor de Ensino Superior e Pesquisador	Sem plano de carreira	Sim, na academia	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Gerenciamento de carreira;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Gerenciamento de carreira;Rede de contatos;Produtividade pessoal;Comunicação e divulgação científica"	Acima de 40	"Português;Espanhol"	Divorciado(a)	Sim, dois filhos	Rio Grande do Norte (RN)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Outros	Química Inorgânica	2019	Química de Materiais	Espírito Santo (ES)	Sim, um pós-doutorado	Sim, de 6 a 12 meses	Não	Sim, no doutorado	De 6 a 12 meses	Já fui associado (estou inativo)	Espírito Santo (ES)	Autônomo/Empresário/Empreendedor																															4/jan	4/jan	4/jan	4/jan	4/jan	2/jan	0-3	Prefiro não responder	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;E-mail;WhatsApp"	Empreendedor	Parcialmente satisfeito	Não	"Escrita de artigos científicos;Gerenciamento de projetos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Gerenciamento de carreira;Rede de contatos;Produtividade pessoal"	"Escrita de artigos científicos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Rede de contatos"	Acima de 40	"Português;Inglês"	Casado(a)	Sim, um filho	Bahia (BA)	Mulher cisgênera	Pardo(a)	Sim
